Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/02/2026,07/03/2026,"WEGMANS #1042, PITTSFORD",Groceries,Sale,-118.42,
07/03/2026,07/05/2026,STARBUCKS STORE 04821,Food & Drink,Sale,-6.85,
07/05/2026,07/06/2026,"AMAZON.COM*M12QR4",Shopping,Sale,-249.99,"gift, wrapped"
07/07/2026,07/08/2026,SHELL OIL 574108,Gas,Sale,-52.10,
07/09/2026,07/10/2026,NETFLIX.COM,Entertainment,Sale,-15.49,
07/11/2026,07/12/2026,"THE CORNER BISTRO
DOWNTOWN",Food & Drink,Sale,-84.00,embedded newline
07/14/2026,07/15/2026,GEICO AUTO PAYMENT,Insurance,Sale,-1428.00,
07/18/2026,07/19/2026,PAYMENT THANK YOU - WEB,,Payment,1250.00,
07/21/2026,07/22/2026,COSTCO WHOLESALE #331,Groceries,Sale,-312.77,
07/25/2026,07/26/2026,PETCO 1188,Shopping,Sale,-64.20,
07/28/2026,07/29/2026,REFUND - TARGET 00019,Shopping,Return,38.11,
07/30/2026,07/31/2026,NOT A DATE,Shopping,Sale,-10.00,this row is broken
PENDING,PENDING,SOME PENDING CHARGE,Shopping,Sale,-25.00,not posted yet
08/01/2026,08/02/2026,MISSING AMOUNT CO,Shopping,Sale,,no amount at all
